Timestamp,X,Y,Z,Xangle,Yangle,Zangle
4.152035,0.9286647,1.094386,0.5276253,0.2269351,-0.3859507,-0.4295133
4.173935,0.928483,1.095975,0.5269275,0.2266526,-0.3887791,-0.4311399
4.193372,0.92823,1.09677,0.5260892,0.226758,-0.3910546,-0.4317899
4.21288,0.9279854,1.097017,0.525546,0.2266386,-0.3918506,-0.4317871
4.232601,0.9279196,1.097467,0.5251335,0.2264244,-0.3929223,-0.4315295
4.252794,0.9281924,1.097727,0.5250551,0.2265877,-0.3934915,-0.4310139
4.273051,0.9282172,1.097618,0.5248845,0.2271637,-0.3937928,-0.4301012
4.295424,0.9280837,1.097382,0.5246367,0.2275378,-0.3931889,-0.4297959
4.320874,0.9284925,1.097322,0.5245638,0.2278854,-0.3923748,-0.4306624
4.344359,0.928735,1.09742,0.5246845,0.2279886,-0.3921334,-0.4305819
4.373788,0.9290175,1.097183,0.5247391,0.2282933,-0.3915818,-0.4300733
4.411128,0.9291341,1.097158,0.5247469,0.2293396,-0.3909704,-0.4308581
4.430912,0.9294741,1.097366,0.5250324,0.229165,-0.3900259,-0.433114
4.450446,0.929472,1.097408,0.5256097,0.2287265,-0.3885991,-0.4339458
4.470248,0.9294755,1.097257,0.5257936,0.228868,-0.3879745,-0.4343764
4.489728,0.9295266,1.097041,0.5261025,0.2291107,-0.3872398,-0.4351452
4.510499,0.9294605,1.096467,0.5265157,0.2290554,-0.386363,-0.4351182
4.53071,0.9299808,1.095614,0.5273992,0.2286995,-0.3839627,-0.4346107
4.550504,0.9308121,1.094817,0.5283861,0.2292967,-0.3807502,-0.4348345
4.570484,0.9311373,1.09442,0.5289788,0.2299205,-0.378723,-0.4357155
4.590735,0.9317179,1.093796,0.5300759,0.231381,-0.3754304,-0.4377
4.610157,0.9321842,1.093024,0.530975,0.2326327,-0.372835,-0.4385016
4.63034,0.9324188,1.092418,0.5318215,0.2331966,-0.3708356,-0.4389454
4.650258,0.9328132,1.092126,0.5324683,0.2326988,-0.3690868,-0.4387553
4.669725,0.9330406,1.091856,0.5329667,0.2324379,-0.3682181,-0.4385806
4.689851,0.9333396,1.091818,0.5334216,0.232198,-0.3667728,-0.4382322
4.710588,0.933388,1.091911,0.5339277,0.2323262,-0.3664375,-0.4381358
4.730887,0.9336932,1.092356,0.5351745,0.23173,-0.366094,-0.439188
4.750171,0.9342108,1.092799,0.5361029,0.2301763,-0.3660954,-0.4411365
4.769677,0.9342098,1.092836,0.5363431,0.2295399,-0.3663545,-0.4418222
4.789306,0.9344726,1.093403,0.536991,0.228159,-0.3666051,-0.442434
4.809192,0.9349415,1.093571,0.5381665,0.2274877,-0.365637,-0.4424889
4.828309,0.9355178,1.093293,0.5391734,0.2273325,-0.3639517,-0.4429943
4.847711,0.9356842,1.093279,0.5396609,0.2274084,-0.3630701,-0.4434864
4.870491,0.9358115,1.092647,0.5401965,0.2271227,-0.3620127,-0.4434269
4.889923,0.9361253,1.091922,0.5409636,0.2269977,-0.3610593,-0.4430029
4.910581,0.935848,1.091387,0.5416038,0.2268807,-0.3599619,-0.4430293
4.930342,0.9358885,1.090921,0.5417982,0.2275057,-0.3595048,-0.4425717
4.960515,0.9366639,1.090627,0.5424228,0.2273881,-0.3590379,-0.4429558
4.980587,0.9367085,1.090575,0.5424176,0.2271271,-0.3591787,-0.4423256
5.000353,0.9368274,1.090447,0.5427032,0.227078,-0.3599847,-0.441414
5.0209,0.9365444,1.09032,0.5427588,0.2270168,-0.3601247,-0.4415202
5.040934,0.9364841,1.090529,0.5430732,0.2268741,-0.3599179,-0.4418916
5.067677,0.9368618,1.090286,0.543534,0.2267368,-0.3593586,-0.4420226
5.093763,0.9367361,1.090336,0.5438305,0.2269959,-0.3585046,-0.4430496
5.115719,0.9366484,1.090343,0.5438671,0.2269422,-0.358595,-0.4430825
5.142103,0.9360483,1.090542,0.5440775,0.2255495,-0.3598051,-0.4422387
5.161899,0.9356723,1.090723,0.544047,0.225228,-0.3607678,-0.4424432
5.182193,0.9355462,1.090785,0.5443263,0.2252386,-0.3609903,-0.4427772
5.208287,0.9355412,1.090702,0.5445253,0.2255504,-0.3610202,-0.4425989
5.234206,0.9355972,1.090642,0.5450915,0.2250861,-0.3603658,-0.4427321
5.254063,0.9355102,1.090736,0.5455142,0.2247472,-0.3599866,-0.4432113
5.280013,0.9354019,1.091105,0.5463011,0.2241867,-0.3597015,-0.4436032
5.300513,0.9355874,1.091078,0.5470389,0.2234586,-0.3586257,-0.4436621
5.321971,0.9358621,1.091459,0.5479189,0.2225986,-0.357235,-0.4438175
5.341779,0.9363394,1.091607,0.5487826,0.222484,-0.3554933,-0.4450666
5.36811,0.9367325,1.092115,0.5496242,0.2214043,-0.3544996,-0.4465908
5.413341,0.9373512,1.092485,0.5511981,0.2182565,-0.3531007,-0.4474293
5.446426,0.9381826,1.092436,0.5529929,0.2181176,-0.3506147,-0.4475507
5.466274,0.9389217,1.092197,0.5539993,0.2179501,-0.3490746,-0.4475347
5.486311,0.9395807,1.09199,0.5548673,0.2172382,-0.348,-0.4477822
5.506562,0.9405029,1.091853,0.5559207,0.2159714,-0.3470667,-0.4478396
5.528316,0.9412532,1.091729,0.5570724,0.2153423,-0.3457188,-0.4480064
5.547993,0.9416349,1.091509,0.5574619,0.215012,-0.3451296,-0.4478318
5.57407,0.9429212,1.091058,0.5590708,0.2140502,-0.3426463,-0.4478039
5.598607,0.9438069,1.090804,0.5600922,0.2138728,-0.3409625,-0.4480924
5.629823,0.9447911,1.09061,0.5610664,0.2134806,-0.3397473,-0.4483249
5.664588,0.946701,1.090245,0.5629742,0.2123313,-0.3380156,-0.4480467
5.684241,0.9473994,1.089663,0.5634587,0.2124918,-0.3362616,-0.4477832
5.703897,0.9480176,1.08906,0.5641333,0.213154,-0.3345027,-0.4482651
5.723856,0.9483182,1.089022,0.5645283,0.2133583,-0.3341794,-0.4483324
5.745457,0.9492769,1.088694,0.5652546,0.2129536,-0.3339772,-0.4476421
5.76532,0.9498169,1.088316,0.5658543,0.2123885,-0.3341813,-0.4468368
5.785015,0.9503593,1.087934,0.5663395,0.2127209,-0.3339339,-0.4457207
5.806143,0.9506426,1.087332,0.5665449,0.2137996,-0.3333028,-0.4455335
5.827208,0.9511383,1.08696,0.5670409,0.2143289,-0.3327317,-0.444755
5.847515,0.951303,1.086831,0.5673021,0.2146349,-0.3324104,-0.4446915
5.868239,0.9514551,1.086685,0.5673488,0.215065,-0.3323212,-0.4451393
5.888277,0.9515419,1.086664,0.5676565,0.2144717,-0.3329111,-0.4450748
5.907926,0.9515119,1.087129,0.5682566,0.2135124,-0.3336305,-0.4448108
5.927963,0.9514904,1.087381,0.5685076,0.2134902,-0.3341841,-0.4447248
5.949008,0.9514787,1.087431,0.5689421,0.2141638,-0.3337435,-0.4449401
5.969252,0.9515417,1.087524,0.5691955,0.214358,-0.3332493,-0.4454107
5.990222,0.9517188,1.088116,0.5697827,0.2140706,-0.3326935,-0.4465032
6.012664,0.9516177,1.088351,0.5701721,0.2128515,-0.3334034,-0.4469305
6.032486,0.9516015,1.088859,0.5706598,0.2120606,-0.3336887,-0.447591
6.052085,0.9517403,1.089203,0.5711688,0.2120527,-0.3330666,-0.4483516
6.072326,0.9518845,1.089265,0.571578,0.2119392,-0.3325186,-0.4487565
6.091975,0.9518623,1.089238,0.5719867,0.2120129,-0.3322014,-0.4489956
6.111574,0.9520559,1.089159,0.5725042,0.2121321,-0.3318354,-0.4496368
6.13188,0.9526579,1.089268,0.5732702,0.2118676,-0.3315389,-0.4501459
6.152982,0.9535234,1.08913,0.5738049,0.2115128,-0.3312453,-0.4504533
6.172668,0.9540114,1.089024,0.5748386,0.2115172,-0.330466,-0.451037
6.193122,0.9548614,1.088611,0.5758436,0.2116907,-0.3294198,-0.4510808
6.213424,0.9553061,1.088364,0.5763836,0.2117997,-0.3286307,-0.4512307
6.234035,0.9560018,1.087967,0.5774201,0.2123833,-0.3271194,-0.4517047
6.254404,0.9566307,1.08761,0.5782635,0.2125413,-0.3258019,-0.4522327
6.27494,0.9575226,1.087244,0.5792315,0.2121586,-0.3244945,-0.4526796
6.295625,0.9582684,1.086939,0.5801091,0.2122259,-0.3232407,-0.4530307
6.315783,0.958992,1.086653,0.5811121,0.2126747,-0.3219581,-0.4539015
6.33628,0.9594789,1.086513,0.5815557,0.2125755,-0.3214138,-0.454124
6.357603,0.9602981,1.086346,0.5825653,0.2120674,-0.3201175,-0.4545488
6.37759,0.961148,1.086277,0.583995,0.2117413,-0.3190396,-0.4554763
6.39777,0.9624569,1.086282,0.5852104,0.2112225,-0.3180976,-0.4562913
