Timestamp,X,Y,Z,Qx,Qy,Qz,Qw
3.424074,3.980012,1.098562,0.269635,-0.1546478,0.1310209,-0.1066879,0.9734142
3.445941,3.981305,1.09603,0.2703956,-0.1515297,0.1307287,-0.1090415,0.9736831
3.466081,3.981861,1.093899,0.2713017,-0.1489221,0.1305149,-0.1098606,0.9740219
3.48643,3.982886,1.092639,0.2719985,-0.1473102,0.1308186,-0.1102208,0.9741856
3.506438,3.983515,1.092157,0.2718734,-0.1469885,0.1309436,-0.1105605,0.9741789
3.526511,3.984241,1.09226,0.2720588,-0.1476809,0.1307247,-0.1111016,0.974042
3.54837,3.985075,1.092717,0.271705,-0.148938,0.1305557,-0.1114299,0.9738358
3.568302,3.985873,1.093964,0.2720811,-0.1505497,0.1306118,-0.1108953,0.9736415
3.58816,3.986863,1.094625,0.2721965,-0.1515264,0.1309657,-0.1107739,0.9734561
3.609511,3.988149,1.095284,0.272485,-0.151773,0.1317021,-0.1106603,0.9733313
3.630721,3.989511,1.095469,0.2733328,-0.1511699,0.1328088,-0.1088755,0.9734761
3.650399,3.98983,1.095788,0.2737708,-0.1508303,0.1332001,-0.1078121,0.9735936
3.670185,3.99084,1.096156,0.2739578,-0.1507689,0.1345841,-0.1056939,0.973645
3.690392,3.992135,1.097323,0.2743765,-0.1515559,0.1359446,-0.1039581,0.9735208
3.710299,3.99311,1.098564,0.2742772,-0.152649,0.137191,-0.1017706,0.9734063
3.730085,3.994542,1.099181,0.2743656,-0.1531988,0.1389793,-0.09937978,0.9733132
3.751115,3.995505,1.099382,0.2746242,-0.153212,0.1402751,-0.09811735,0.9732533
3.771146,3.997692,1.099415,0.2746306,-0.1530186,0.1435619,-0.09501503,0.9731123
3.791144,3.999792,1.10043,0.2747328,-0.1534083,0.1473069,-0.09193986,0.9727865
3.811033,4.00208,1.101564,0.2747267,-0.1546568,0.1519663,-0.08915646,0.972131
3.831176,4.004736,1.103219,0.2745534,-0.1571401,0.1570603,-0.08693232,0.9711241
3.85159,4.005759,1.104061,0.2743786,-0.1582147,0.1595317,-0.08573414,0.9706531
3.871657,4.008447,1.106245,0.2734946,-0.1614345,0.1652607,-0.08387217,0.9693262
3.891768,4.011796,1.10882,0.2724665,-0.1653025,0.1712879,-0.08294469,0.9677064
3.911778,4.014492,1.111101,0.2714547,-0.1689274,0.1775512,-0.08058944,0.9661493
3.931577,4.017242,1.112955,0.2699482,-0.1710043,0.1842385,-0.07760169,0.9647754
3.952266,4.020854,1.113714,0.2690505,-0.1712506,0.1922569,-0.07317381,0.9635124
3.978947,4.02431,1.114715,0.2689652,-0.1709942,0.2005927,-0.06828894,0.9622163
4.002678,4.028415,1.115204,0.267536,-0.1708346,0.2107994,-0.06372573,0.960374
4.03359,4.035821,1.117644,0.2630318,-0.1745013,0.2284216,-0.05731666,0.9560793
4.069151,4.044424,1.12139,0.2562824,-0.181028,0.2484909,-0.04978225,0.9502647
4.089091,4.050689,1.123496,0.2510854,-0.184528,0.2634557,-0.04453944,0.9458101
4.109176,4.056397,1.124868,0.2455399,-0.1872152,0.2789542,-0.03893048,0.9410736
4.129035,4.05935,1.1257,0.2424722,-0.1883848,0.2874217,-0.03574952,0.9384146
4.149286,4.064523,1.128292,0.2361168,-0.1902747,0.3045327,-0.02849708,0.9328684
4.170597,4.069873,1.130379,0.2280325,-0.1917805,0.3227942,-0.0207117,0.9266042
4.1908,4.074456,1.133019,0.2189625,-0.19393,0.3422542,-0.01157932,0.9193036
4.211074,4.078014,1.137252,0.209141,-0.198005,0.3613308,-0.002354407,0.9111688
4.231593,4.080076,1.141893,0.1981415,-0.2037554,0.3796686,0.006099852,0.9023848
4.252347,4.081137,1.146233,0.1864944,-0.209259,0.3979076,0.01338717,0.8931411
4.272646,4.081373,1.148345,0.1805586,-0.2113854,0.4069695,0.01718419,0.8884801
4.292832,4.080935,1.151452,0.1687796,-0.2134635,0.425005,0.02621728,0.8792706
4.313157,4.078903,1.154842,0.1572767,-0.214909,0.4427216,0.03531463,0.8698073
4.333504,4.075346,1.157546,0.1462859,-0.2158658,0.458942,0.04460814,0.8606883
4.357254,4.070299,1.159743,0.1356876,-0.2167996,0.4735711,0.05295988,0.8520115
