T,Elapsed,Simulate
0,0,0.02536297
1,0,0.01959276
2,0.01999999,0.01724768
3,0.0626011,0.01880026
4,0.0347145,0.01818037
5,0.0338634,0.01774454
6,0.0345539,0.01974344
7,0.0345654,0.02008653
8,0.0355016,0.01620722
9,0.03262081,0.01795101
10,0.0346241,0.01778221
11,0.03787209,0.02517176
12,0.0417816,0.01855612
13,0.0375135,0.01818156
14,0.037542,0.01920915
15,0.0358056,0.01761532
16,0.0412414,0.0193336
17,0.0375719,0.01866293
18,0.0388297,0.01630569
19,0.0344014,0.01708555
20,0.0348081,0.01678705
21,0.0319617,0.01656222
22,0.031697,0.0163033
23,0.03165049,0.01508093
24,0.0296938,0.01510906
25,0.0310832,0.01617861
26,0.03314041,0.01665211
27,0.0323787,0.01633358
28,0.0319634,0.01851678
29,0.0334851,0.0154078
30,0.0326313,0.01567483
31,0.0324457,0.0160861
32,0.0311033,0.01782513
33,0.0345233,0.01492739
34,0.0296382,0.01610041
35,0.0312906,0.01481152
36,0.030321,0.01621175
37,0.0315489,0.0146296
38,0.0292767,0.01440263
39,0.0316727,0.01729822
40,0.0359799,0.02285028
41,0.0397591,0.02428746
42,0.0417174,0.02324009
43,0.0388153,0.02408862
44,0.0421741,0.02227163
45,0.0432063,0.02269864
46,0.038289,0.01521134
47,0.030556,0.01459503
48,0.0289951,0.012712
49,0.0287433,0.01407528
50,0.0296249,0.01391029
51,0.0280414,0.01302624
52,0.0273534,0.01284075
53,0.0341371,0.01420999
54,0.0332889,0.01411319
55,0.0446083,0.01347685
56,0.0458769,0.01303816
57,0.0282797,0.01411486
58,0.0292531,0.01632333
59,0.0343425,0.01449585
60,0.0307308,0.01247883
61,0.0298368,0.01280618
62,0.02870361,0.01107073
63,0.0286344,0.01219845
64,0.0303057,0.01278543
65,0.0289059,0.01162338
66,0.0437211,0.01295447
67,0.02758999,0.01358104
68,0.0282343,0.01363897
69,0.0272134,0.01519299
70,0.0311279,0.01348925
71,0.0282956,0.01209402
72,0.0292668,0.01187205
73,0.0271748,0.01208591
74,0.0276963,0.01356411
75,0.0270512,0.01105094
76,0.0271166,0.01304245
77,0.0279138,0.01211238
78,0.0297951,0.01808476
79,0.0327876,0.01109576
80,0.0271597,0.01231289
81,0.0272395,0.0131042
82,0.0267581,0.01361012
83,0.02762,0.01169753
84,0.027289,0.01322675
85,0.027128,0.01133204
86,0.0273346,0.01273537
87,0.027717,0.01265001
88,0.027457,0.01120353
89,0.0273645,0.0128088
90,0.0277502,0.01241183
91,0.0267576,0.01163912
92,0.0271057,0.0130024
93,0.0273372,0.01458836
94,0.0336008,0.01234961
95,0.0275823,0.01111627
96,0.0275975,0.01283574
97,0.0275898,0.01150537
98,0.0274718,0.01283669
99,0.0277551,0.01291513
100,0.0285109,0.01237774
101,0.0271947,0.01170158
102,0.0272026,0.01205111
103,0.0271404,0.01159167
104,0.0280387,0.01367235
105,0.02770249,0.01212263
106,0.0263078,0.01208019
107,0.0273605,0.01234412
108,0.027446,0.01158333
109,0.0275091,0.0112505
110,0.0261665,0.01292896
111,0.0276148,0.0124619
112,0.0274112,0.01152396
113,0.026313,0.01258159
114,0.0279262,0.01316762
115,0.0285387,0.0116272
116,0.02688549,0.01132989
117,0.02632791,0.01256347
118,0.02749169,0.01200056
119,0.0272893,0.01258111
120,0.02772881,0.01239085
121,0.0266801,0.01275873
122,0.0273432,0.01192117
123,0.0269556,0.01331234
124,0.034476,0.01257253
125,0.0337676,0.01227951
126,0.0451682,0.01251459
127,0.0274138,0.01178098
128,0.0271715,0.01168418
129,0.026553,0.01439023
130,0.0312625,0.01269221
131,0.0272065,0.01235819
132,0.0266362,0.01177716
133,0.0270652,0.01170015
134,0.0267214,0.01301432
135,0.0285265,0.01306057
136,0.0284647,0.01222157
137,0.0272685,0.01167798
138,0.0268447,0.01241875
139,0.0266152,0.01209307
140,0.0271076,0.01317072
141,0.0305097,0.01235986
142,0.0286417,0.01179123
143,0.0416915,0.01311541
144,0.03086011,0.01362276
145,0.0292654,0.01239228
146,0.0280772,0.01257086
147,0.0271147,0.01309633
148,0.0278475,0.0125103
149,0.0269859,0.01116443
150,0.02644761,0.01312995
151,0.0288054,0.0115509
152,0.0311036,0.01191878
153,0.0266768,0.01059914
154,0.0263956,0.01254988
155,0.0275793,0.01267624
156,0.027661,0.01145363
157,0.0273458,0.01259542
158,0.0279676,0.01143575
159,0.0276778,0.01367497
160,0.0281785,0.01208258
161,0.0275887,0.01174808
162,0.026895,0.01119494
163,0.02676859,0.0116303
164,0.0280408,0.01208878
165,0.026375,0.01526928
166,0.0307863,0.01283455
167,0.0293769,0.01097083
168,0.0268424,0.01312137
169,0.027789,0.01160431
170,0.026021,0.01248956
171,0.0278915,0.01155591
172,0.0264012,0.01260352
173,0.02784561,0.01245141
174,0.02710439,0.01206088
175,0.02734,0.01255488
176,0.026729,0.01222849
177,0.02696759,0.01165438
178,0.0267649,0.01319742
179,0.0287536,0.01277542
180,0.0275852,0.0117743
181,0.0263904,0.0116694
182,0.0264814,0.0131402
183,0.0272104,0.01191926
184,0.0267725,0.01202965
185,0.027837,0.01227665
186,0.0278155,0.01234555
187,0.02590149,0.01289892
188,0.0267682,0.01259589
189,0.0269751,0.01197505
190,0.027552,0.01162577
191,0.0268551,0.01147318
192,0.0267528,0.01135945
193,0.0272769,0.0118072
194,0.0264204,0.01168156
195,0.0345367,0.01276183
196,0.0342882,0.01122475
